title,link,date
BUSANGA HYDROPOWER PLANT INAUGURATED IN DRC,https://constructafrica.com/news/busanga-hydropower-plant-inaugurated-drc,sneha - 10/09/2023 - 18:48 - 0 comments
DRC INVITES BIDS FOR 5 PUBLIC HEALTH LABORATORIES,https://constructafrica.com/projects-and-tenders/drc-invites-bids-5-public-health-laboratories,mitchell - 09/07/2023 - 12:47
AFRICAN ECONOMIC OUTLOOK: AFDB PREDICTS 4% GDP GROWTH IN 2023-4,https://constructafrica.com/news/african-economic-outlook-afdb-predicts-4-gdp-growth-2023-4,lizbains - 05/26/2023 - 18:44 - 0 comments
ZAMBIA AND DRC BREAK GROUND ON LUAPULA BRIDGE,https://constructafrica.com/news/zambia-and-drc-break-ground-luapula-bridge,sneha - 10/06/2023 - 14:23 - 0 comments
RADISSON HOTEL GROUP SET TO DOUBLE ITS WEST AND CENTRAL AFRICA PORTFOLIO BY 2025,https://constructafrica.com/news/radisson-hotel-group-set-double-its-west-and-central-africa-portfolio-2025,Staff Writer - 10/23/2021 - 15:14 - 0 comments
RWANDA PUSHES ON WITH LAKE KIVU PROJECT,https://constructafrica.com/news/rwanda-pushes-lake-kivu-project,sneha - 09/12/2023 - 10:25 - 0 comments
DRC SEEKS CONSULTANT FOR 93KM ROAD FEASIBILITY STUDY,https://constructafrica.com/projects-and-tenders/drc-seeks-consultant-93km-road-feasibility-study,mitchell - 11/14/2023 - 11:11
ANGOLA'S LOBITO CORRIDOR RAILWAY HANDED OVER TO INTERNATIONAL OPERATOR,https://constructafrica.com/news/angolas-lobito-corridor-railway-handed-over-international-operator,chrism - 07/06/2023 - 14:58 - 0 comments
SDGS: SUB-SAHARAN AFRICA LIKELY TO MISS KEY INFRASTRUCTURE GOALS,https://constructafrica.com/news/sdgs-sub-saharan-africa-likely-miss-key-infrastructure-goals,lizbains - 10/12/2023 - 15:30 - 0 comments
DRC INVITES EOIS FROM CONSULTANTS FOR TRANSNATIONAL ROAD CORRIDOR TO ANGOLA,https://constructafrica.com/projects-and-tenders/drc-invites-eois-consultants-transnational-road-corridor-angola,lizbains - 08/28/2023 - 08:59
TANZANIA AWARDS US$2.2 BILLION RAIL CONTRACT TO CHINESE CONSORTIUM,https://constructafrica.com/news/tanzania-awards-us22-billion-rail-contract-chinese-consortium,chrism - 02/11/2023 - 23:34 - 0 comments
PORT INFRASTRUCTURE UPGRADE TO BOOST TANZANIA’S REGIONAL TRADING STANDING,https://constructafrica.com/news/port-infrastructure-upgrade-boost-tanzanias-regional-trading-standing,Diana Muringo - 05/24/2021 - 15:03 - 0 comments
AFREXIMBANK PLANS AFRICAN QUALITY ASSURANCE CENTRES,https://constructafrica.com/news/afreximbank-plans-african-quality-assurance-centres,sneha - 11/17/2023 - 10:37 - 0 comments
