title,link,date
DRC INVITES BIDS TO BUILD PRIMARY SCHOOLS,https://constructafrica.com/projects-and-tenders/drc-invites-bids-build-primary-schools,30/11/2023
DRC'S KASANGULU SMART CITY TO BREAK GROUND NEXT MONTH,https://constructafrica.com/news/drcs-kasangulu-smart-city-break-ground-next-month,22/11/2023
AFREXIMBANK PLANS AFRICAN QUALITY ASSURANCE CENTRES,https://constructafrica.com/news/afreximbank-plans-african-quality-assurance-centres,17/11/2023
DRC SEEKS CONSULTANT FOR WATER DISTRIBUTION PROJECT,https://constructafrica.com/projects-and-tenders/drc-seeks-consultant-water-distribution-project,15/11/2023
DRC SEEKS CONSULTANT FOR 93KM ROAD FEASIBILITY STUDY,https://constructafrica.com/projects-and-tenders/drc-seeks-consultant-93km-road-feasibility-study,14/11/2023
KENYA FIRM TO LEAD CONSTRUCTION OF SMART CITY PROJECT IN DR CONGO,https://gambetanews.com/kenya-firm-to-lead-construction-of-smart-city-project-in-dr-congo/,13/11/2023
BURUNDI FIRM AWARDED US$7 MILLION CONTRACT IN DRC ,https://constructafrica.com/projects-and-tenders/burundi-firm-awarded-us7-million-contract-drc,03/11/2023
DRC SEEKS CONSULTANTS FOR WATER INTAKE PROJECT,https://constructafrica.com/projects-and-tenders/drc-seeks-consultants-water-intake-project,31/10/2023
UNICEF INVITES PROPOSALS FOR 11 DRC SCHOOL CONTRACTS,https://constructafrica.com/projects-and-tenders/unicef-invites-proposals-11-drc-school-contracts,31/10/2023
MALAWI AND CHINA SIGN RAIL AGREEMENT,https://constructafrica.com/news/malawi-and-china-sign-rail-agreement,27/10/2023
HOW DAR ES SALAAM PORT INEFFICIENCES ARE DERAILING TANZANIA’S ECONOMY,https://gambetanews.com/how-dar-es-salaam-port-inefficiences-are-derailing-tanzanias-economy/,23/10/2023
EOIS SOUGHT FOR DRC RUNWAY ASPHALTING CONTRACT,https://constructafrica.com/projects-and-tenders/eois-sought-drc-runway-asphalting-contract,18/10/2023
SDGS: SUB-SAHARAN AFRICA LIKELY TO MISS KEY INFRASTRUCTURE GOALS,https://constructafrica.com/news/sdgs-sub-saharan-africa-likely-miss-key-infrastructure-goals,12/10/2023
DRC PRESIDENT MAKES INSPECTION OF RURAL INFRASTRUCTURE PROJECTS,https://constructafrica.com/news/drc-president-makes-inspection-rural-infrastructure-projects,10/10/2023
BUSANGA HYDROPOWER PLANT INAUGURATED IN DRC,https://constructafrica.com/news/busanga-hydropower-plant-inaugurated-drc,09/10/2023
ZAMBIA AND DRC BREAK GROUND ON LUAPULA BRIDGE,https://constructafrica.com/news/zambia-and-drc-break-ground-luapula-bridge,06/10/2023
DRC SEEKS CONSULTANT FOR 444KM ROAD PROJECT,https://constructafrica.com/projects-and-tenders/drc-seeks-consultant-444km-road-project,02/10/2023
US AND EU LOOK TO ACCELERATE LOBITO CORRIDOR EXPANSION,https://constructafrica.com/news/us-and-eu-look-accelerate-lobito-corridor-expansion,14/09/2023
RWANDA PUSHES ON WITH LAKE KIVU PROJECT,https://constructafrica.com/news/rwanda-pushes-lake-kivu-project,12/09/2023
DRC INVITES BIDS FOR 5 PUBLIC HEALTH LABORATORIES,https://constructafrica.com/projects-and-tenders/drc-invites-bids-5-public-health-laboratories,07/09/2023
DRC INVITES EOIS FROM CONSULTANTS FOR TRANSNATIONAL ROAD CORRIDOR TO ANGOLA,https://constructafrica.com/projects-and-tenders/drc-invites-eois-consultants-transnational-road-corridor-angola,28/08/2023
"Moldova gets EBRD loan for M1, M2 upgrades",https://www.worldhighways.com/wh12/news/moldova-gets-ebrd-loan-m1-m2-upgrades,28/08/2023
ZIMBABWE HIGHWAY EPITAPHS: THE WAY FORWARD,https://gambetanews.com/zimbabwe-highway-epitaphs-the-way-forward/,23/08/2023
Green light for D35 Litomysl-Janov bypass,https://www.worldhighways.com/wh12/news/green-light-d35-litomysl-janov-bypass,15/08/2023
UGANDA GENERAL COMMISSION MULTI-BILLION APARTMENT,https://gambetanews.com/uganda-general-commission-multi-billion-apartment/,15/08/2023
EAP ACQUIRES MAJORITY STAKE IN DRC SOLAR PROJECTS,https://constructafrica.com/news/eap-acquires-majority-stake-drc-solar-projects,09/08/2023
NAMIBIA GOVERNOR CALLS FOR KATIMA MULILO BORDER PROJECT TO BE FAST-TRACKED,https://gambetanews.com/namibia-governor-calls-for-katima-mulilo-border-project-to-be-fast-tracked/,09/08/2023
UK equipment sales bounce back in June,https://www.worldhighways.com/wh2/news/uk-equipment-sales-bounce-back-june,25/07/2023
